id,pun,tags,attribution
1,"Ace Combat crossover Transformers

Ace Combat X: Skies of Decepticon",game,
2,"Aktor Indonesia yang gendut

Joe Takslim",aktor,
3,"Aktor kakak perempuan yang jadi musuh Batman

Liam Nee-san","kakak, aktor, batman",
4,"Aktor yang bisa melucu

Joke Taslim",aktor,nadya.christa
5,"Aktor yg suka ngaji di majlis ilmu

Joe Ta'lim",aktor,akhfi.therainviewer
6,"Anak Presiden AS yang dipertanyakan

Ivankah? Trump","amerika
",
7,"Anggota The Survey Corps yang membawakan acara dangdut

Miharja Ackermann

""APPAAN TUUH!""","anime, manga",
8,"Anime tentang figure skater yang baik hati

Yurio Nice","anime, ice skating",
9,"Band Indonesia yang gak pernah ngeluarin album

Blue Band","musik
",rankgy.d.rezpector
10,"Band musik yang suka main card game

Yovie & Uno",musik,
11,"Band yang suka bikin plesetan

Peterpun",musik,
12,"Bank Indonesia yang bikin serial anime

Danamonogatari",anime,
13,"Brigadir polisi Indonesia imigran dari Afrika

Norman Kamerun","artis, musik",
14,"Buah yang bikin visual novel

Buah Na-Ga",VN,
15,"Buku tentang ideologi kucing dan rencana menguasai Jerman

Meong Kampf","kucing, nazi",
16,"Bumbu masakan yang disukai perakit robot-robotan

Monosodium Gundamate","kuliner, robot",
17,"Bunga yang cepat marah

Angryek",bunga,
18,"Calon gubernur yang baik hati

A Nice Baswedan",politik,
19,"Calon gubernur yang bertangan dingin

An Ice Baswedan",politik,
20,"Cerita karangan Mark Twain tentang pedangdut keliling

Tom Sawer","penulis, dangdut",
21,"Dari pewarta jadi pedangdut

Ayu Tintin","berita, dangdut",
22,"Dating sim tapi heroinenya digacha

Amagami SSR","gacha, VN, galge
",
23,"Dokter bedah yang nyanyi lagu anak-anak

Tompi Saya Bundar","musik, dokter",
24,"Duet idol Jepang yang ikut F1

McLariS","musik, F1",
25,"Film anime tentang android unggas

Eve no Chicken
","film, anime, ayam",
26,"Film tentang bertahan melawan zombie di dalam gubuk kecil

Saung of the Dead","film, zombie",
27,"Film tentang blokir Internet di Indonesia

Kimi no Nawala","F1, anime",
28,"Film tentang kebangkitan orang-orang tak beruntung

Rise of the Planet of the Apes",film,
29,"Film tentang pembalap F1 yang bertukar badan

Kimi rai Konnen","F1, film, anime",
30,"Film tentang pencetus komunis ngamuk

Mad Marx",film,
31,"Film tentang sendirian jadi dokter unggas

Ayam Legend
","film, ayam",
32,"FOTUS

Food of the United States

McDonald Trump","makanan, amerika",
33,"Grup musik Jepang yang suka bikin mobile games?

Supercell","musik, game",faiz.ilham
34,"Grup musik Jepang yang suka dipakai bersih-bersih

Superpell",musik,tahtaa
35,"Grup musik Jepang yang suka jualan

Supersell",musik,
36,"Habis makan jadi?

Kenya",negara,signore.farid
37,"Ikan yang dapat penghargaan

Ikan Grammy","ikan, musik",
38,"Ikan yang jago nyanyi

Ikan Fawzi","ikan, musik",
39,"Kakak perempuan yang bikin film kartun

Walt Dis-nee","kakak, film, disney",
40,"Kaliber peluru buatan ITB

.50 Bumi Medika Ganesha","militer, ITB",
41,"Kamen Rider yang populer tahun 90-an

Kamen Rider Bagito","tokusatsu, pelawak",
42,"Karakter gadis kucing di Harry Potter

Hermeong","kucing, harry potter",
43,"Kartun Amerika yang menampilkan orang Batak

Beavis and Butet","kartun, batak
",
44,"Kendaraan tempat lahirnya Zeus

Kreta
","yunani
",
45,"Kerajaan yang lapar dan haus?

Haustria-Hungry
",negara,michaelaw320
46,"Ketua parpol yang bertenaga

Megawatt Soekarnoputri
","partai, politik",
47,"Ketua parpol yang suka iseng

Usil Lo Bambang Yudhoyono
","partai, politik",
48,"Komik Jepang tentang harem anak sekolah tapi ceritanya bagus

Nicekoi
","anime, manga, jejepangan",
49,"Komik super shonen yang cetar membahana

Fist of North Cetar","manga, jejepangan
",
50,"Komik tentang pria yang sekali membuat plesetan orang langsung kalah

One Pun Man
","manga, jejepangan
",
51,"Komikus Indonesia yang jago bikin cerita yang manis

Annisa Nisfihoney",komik,
52,"Komikus Indonesia yang kece badai

Katrina Rakhmavika","badai, komik",
53,"Kota di Inggris yang tidak ada apa-apanya

Nothingham","inggris, kota",
54,"Kota yang berbahaya

Surabahaya",kota,
55,"Kota yang ikut menjadi calon gubernur

San Diego Uno","politik, kota",
56,"Kota yang memberitahu bahaya ikan hiu

Sura Bahaya","kota, jawa",
57,"Kota yang sulit

Los Angel es","kota, jawa",
58,"Lagu jadul yang imut-imut

Comelia, oleh Ebiet G. Adek",musik,
59,Macross b² − 4ac,"matematika, anime",
60,"Makanan yang dibenci pemain game gacha

Kentang GoRNG
","gacha, game",
61,"Mantan ketua KPK yang suka menyuruh orang minta maaf

Anta Sorry","politik
",
62,"Mantan musisi Indonesia yang selalu tampak rapi

Ahmad Dandy",musik,
